Mouse	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat	Day	CFU_g	Experiment
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	12	1.53E+08	2016
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	14	2.80E+07	2016
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	16	1.09E+07	2016
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	21	1.41E+07	2016
150_1	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	26	6.30E+06	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	1	0.00E+00	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	3	2.60E+07	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	6	2.10E+07	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	9	5.00E+07	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	12	9.70E+07	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	14	1.80E+07	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	16	1.89E+07	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	21	2.24E+07	2016
150_2	150A	female	no	RAG	630_vehicle	630	vehicle	colonized	26	1.00E+07	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	1	0.00E+00	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	3	2.30E+07	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	6	2.00E+07	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	9	4.40E+07	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	12	3.70E+07	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	14	2.80E+07	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	16	9.40E+07	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	21	7.00E+07	2016
150_3	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	7.90E+06	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	1	0.00E+00	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	3	8.40E+07	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	6	6.10E+07	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	9	9.70E+07	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	12	7.40E+07	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	14	4.20E+07	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	16	6.10E+07	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	21	3.50E+07	2016
150_4	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	1.35E+07	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	1	0.00E+00	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	3	NA	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	6	9.00E+07	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	9	5.00E+07	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	12	4.80E+07	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	14	7.20E+07	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	16	2.17E+08	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	21	1.06E+08	2016
150_5	150	female	no	RAG	630_infected_splenocytes	630	infected_splenocytes	colonized	26	3.30E+07	2016
